Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2009/10,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,12
2009/10,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,213
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,246
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,29
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,60
2009/10,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1146
2009/10,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,30
2009/10,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,21
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,671
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,4
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,284
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,170
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,13
2009/10,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,84
2009/10,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,56
2009/10,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,28
2009/10,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,44
2009/10,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,472
2009/10,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,71
2009/10,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,60
2009/10,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,66
2009/10,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,3
2009/10,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,5
2009/10,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,7
2009/10,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,365
2009/10,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,22
2009/10,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,186
2010/11,City University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,6
2010/11,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,13
2010/11,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,14
