Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,231
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,17
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,133
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,9
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,176
2010/11,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,4
2010/11,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,13
2010/11,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,76
2010/11,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,2
2010/11,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,47
2010/11,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,4
2010/11,Hong Kong Baptist University,Partially Funded by General Funds,Junior Academic Staff,Full-time,1
2010/11,Hong Kong Baptist University,Partially Funded by General Funds,Senior Academic Staff,Full-time,1
2010/11,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Full-time,6
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,88
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,77
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,4
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,151
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,6
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,4
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,193
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,122
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Full-time,76
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Part-time,23
2010/11,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Short-term,76
2010/11,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Full-time,90
2010/11,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Part-time,133
2010/11,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Short-term,13
2010/11,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,163
2010/11,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,23
2010/11,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,3
2010/11,Hong Kong Baptist University,Wholly self-financed,Junior Academic Staff,Full-time,12
2010/11,Hong Kong Baptist University,Wholly self-financed,Senior Academic Staff,Full-time,2
2010/11,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Full-time,84
2010/11,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Part-time,7
2010/11,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Short-term,40
2010/11,Lingnan University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,2
2010/11,Lingnan University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,6
2010/11,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,3
2010/11,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2010/11,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Full-time,4
2010/11,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Part-time,1
2010/11,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Short-term,6
2010/11,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Full-time,3
2010/11,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Part-time,4
2010/11,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Short-term,19
2010/11,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,40
2010/11,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,11
2010/11,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,41
2010/11,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,24
2010/11,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,82
2010/11,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2010/11,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,6
2010/11,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,40
2010/11,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,3
2010/11,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,2
2010/11,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Full-time,7
2010/11,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Short-term,3
2010/11,Lingnan University,Wholly self-financed,Academic Supporting Staff,Short-term,4
2010/11,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,15
2010/11,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,7
2010/11,Lingnan University,Wholly self-financed,Junior Academic Staff,Part-time,3
2010/11,Lingnan University,Wholly self-financed,Junior Academic Staff,Short-term,49
2010/11,Lingnan University,Wholly self-financed,Senior Academic Staff,Part-time,1
2010/11,Lingnan University,Wholly self-financed,Technical Research Staff,Full-time,2
2010/11,Lingnan University,Wholly self-financed,Technical Research Staff,Short-term,7
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,18
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,66
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,4
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,45
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,5
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,9
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,214
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,10
2010/11,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,115
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,320
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,29
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,54
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1110
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,14
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,6
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,558
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,27
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,110
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,283
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,3
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,199
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,6
2010/11,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,49
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,82
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,81
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,233
2010/11,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,511
2010/11,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,46
2010/11,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,12
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,31
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,22
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,129
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,4
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,546
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,15
2010/11,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,102
2010/11,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,3
2010/11,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2010/11,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,5
